cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
"21 - Fibroblasts (CollagenTypeI+, CD56+, pSTAT3dim, Arginase1dim)",0.92330766,-2.60532,4.3000355,-5.854326,0.85904217,-2.7062545,3.1961477,0.48401383,-3.0223155,1.0021802,-2.8684154,3.385291,-0.86373204,-1.6481005,-1.848762,-3.0898528,-0.92072654,-2.2722466,-0.45457843,3.52898,-4.707785,-0.5532331,2.061768,-0.70719445,1.4918606,3.5278547,1.4695345,-2.2700686,-1.5434318,2.681897,0.9286379,0.42619473,1.2440708,0.8647646,4.9713855,-1.1580062,-7.855156,-1.2049241,0.7171882,-5.169807,-1.1664678,-4.479786,-3.4880152,2.1715965,3.2953265,-1.6241443,2.6763096,2.9810443,-0.66209346
22 - ?(No marker),-5.026595,-0.14379722,1.4383687,0.21985711,-2.1080234,-4.9184237,1.497546,-2.2667828,3.1470947,1.6041576,3.036722,-2.0508254,-1.5232654,0.32386017,-1.0795763,1.3604428,1.2170541,-2.8104508,0.8137282,1.2966802,-1.3639139,-0.38940793,3.1158373,-2.038467,0.7107497,-0.8705903,2.025735,-1.3254569,-1.3496882,1.2687931,6.294627,0.67419696,6.5468364,-5.0773163,3.979448,-3.4717252,1.8027078,2.1540658,5.0771165,8.138875,2.7848082,0.9680131,1.4130212,2.3740606,2.0567503,2.0612745,-0.33982348,-1.2740539,0.28365862
"23 - Neutrophils (CD15+, CD11b+, MPO+, CleavedCaspase3+, Arginase1+, pCREB+, HistoneH3+)",-3.5723865,-4.5308456,1.9287968,2.465883,-3.4075146,-0.4122828,-1.5306165,-4.124119,-2.4831712,1.2681795,-1.4930735,0.5623334,2.0462916,1.5263548,-1.7554499,-1.0625376,-1.7985036,-0.5368933,2.1579425,1.3153623,2.3079228,1.4740771,-3.9817853,1.8068364,2.78666,4.2825246,-0.6406777,0.5798302,-1.102787,-1.6747581,-2.9809542,-0.6366224,-6.0785317,1.1659757,0.052850597,0.7197257,-1.8807124,1.2404118,2.0626335,5.7351055,1.2604868,-4.1971726,1.6847669,4.509855,-4.969622,0.112061515,-5.905121,3.3615673,-3.9045165
24 - ?(No marker),-4.3468146,-1.7143084,3.7656763,1.4914522,-3.4611359,-4.8978066,-2.240765,-0.13181996,-2.924092,0.9588403,-0.8088499,0.103773504,-0.039677195,1.7307069,-1.3369503,-1.195802,-0.38924846,1.7583213,-1.5365995,1.5523446,-0.2040659,0.56231105,-0.12590173,-0.81277436,-1.6884413,-1.2479455,-3.1067393,-2.950893,0.41611695,-0.945227,-1.6536539,-3.263059,2.4715564,2.2831347,-6.3912034,0.7005265,2.1412742,-1.1180303,-0.9080538,-5.667243,9.389901,2.224514,-4.1668735,0.27680588,4.90772,2.962512,-3.642318,-1.550604,2.171318
"25 - Mesenchymal cells (Vimentin+, CollagenTypeI+)",4.77793,-0.8434001,0.410607,0.53102636,1.6898057,1.4640069,1.5114977,0.5042037,1.0770819,1.8690728,2.2399716,-0.77195024,4.9920664,1.6433377,-5.233124,5.4424977,-3.737022,-1.7974236,-2.012371,0.6353326,3.382068,-0.11530534,2.112712,-5.5336494,-4.364334,-0.37104282,0.35408717,-3.0662003,4.1679964,2.4017513,-5.043007,3.0954485,2.0556383,7.1841516,0.9907598,-1.2771716,1.371684,-1.666513,-0.9596089,4.784783,-0.14275235,-1.5577729,-2.806539,1.6160376,2.0720773,1.5296232,0.80615884,-0.25607485,-1.4796187
"26 - Monocytes (CD14+, CD11bdim, MPOdim)",-1.7435361,1.7252307,4.6805043,-0.58112985,-0.2975236,3.355389,-5.04547,1.1296103,5.1044855,-1.3014157,0.8258838,-1.5107689,2.72728,-5.2802105,0.23398647,4.4999795,-2.1362267,-4.199715,-0.6446013,0.4650817,-2.0220456,-5.8682256,-0.16287544,-0.24741453,-2.6946259,-0.107514076,-4.605282,-1.7032604,-1.2788664,-0.41042918,-0.45653406,-1.6704686,3.6682155,-3.6562314,-3.0388129,1.9027597,-5.719071,-3.0819755,-1.5569633,-2.214391,-2.4805202,1.1824646,3.9532404,2.0174806,-3.319739,1.0253289,-2.9962444,-0.09873938,-0.67481816
"27 - Neutrophils (CD15+, CD11b+, MPO+)",-3.4859471,-4.2563357,-0.5612485,5.395598,1.2269912,2.5330915,3.9307067,1.7084258,-2.6200702,-1.5066619,1.2166772,0.09459317,0.6085471,-2.4490736,2.0537224,-0.86857855,-1.3482391,2.065861,-2.509866,1.0526536,-1.504729,-0.89030874,-1.6477306,0.98041797,-2.2170343,-0.8816724,0.28648615,-3.45927,3.7467492,-0.5836873,3.4650369,2.637834,-0.55193484,0.2438271,1.3279377,-1.48311,0.6202341,0.6515446,3.042273,-3.9342103,-1.2211727,2.6716409,2.2404087,-3.4577613,1.2592233,1.6963043,0.3018765,-2.8472133,-12.022812
"28 - Monocytes (CD14+, IL1beta+)",0.681101,-5.242093,-1.4110504,1.0760527,3.14335,0.080760136,-2.08624,0.92240506,-0.41846222,0.049997404,-2.8511987,-1.9546062,-5.561945,2.0625665,-4.665025,0.87203807,-1.6060343,-2.2875946,-1.0605271,-7.5659075,4.8164487,-0.73503673,-3.2687187,1.8171241,-0.55813265,0.40717605,0.84617937,4.6248918,-5.3648815,1.3093486,-1.9127591,0.3757262,6.3158207,-0.17744017,-1.2728627,-6.4792395,-1.7616706,3.4934855,-0.37542805,-2.753676,-0.16417515,0.1761926,0.806418,-1.4811428,0.7977749,-1.4106016,-0.2941743,-0.07401092,-1.3190985
"29 - Epithelial cells (Keratin818+, HistoneH3+, IL6dim)",-0.73418546,5.0542135,0.7809316,6.0459223,0.5774096,-4.3231335,0.035166346,3.4244797,-0.8409301,3.8463063,-3.7999842,-1.3315879,-0.22729582,0.5977626,-2.2073183,0.4129441,-0.33381104,-1.1531211,1.8130264,1.5413594,0.16693257,1.2894952,-0.56295335,-0.9330598,2.2612195,0.059708036,-0.30870554,0.80790216,1.402976,1.6644921,0.4012767,0.6125823,1.9308888,-0.091189146,0.67310226,5.048284,1.6793591,1.6026081,-3.7836947,-0.48870608,-2.7089431,2.3379638,4.883617,-3.4719963,3.3378854,1.2881576,1.0341738,11.221254,-1.0316814
30 - ?(No marker),-3.0478578,2.7199662,4.0070033,-2.918827,-1.814636,1.3448733,1.2803625,2.993826,-3.7695858,-0.97542405,-1.3264194,-0.65306515,5.887086,1.3446884,1.5302969,1.1289593,2.3942702,-0.6558217,2.4714215,-2.8157625,-1.7923564,1.1035942,-1.9445198,2.4900799,2.1618388,-7.4305115,-1.5403535,1.7378353,-1.7013459,-2.182706,0.6461502,0.6887103,3.2083285,4.9687395,-4.0853267,0.38251075,-2.927877,3.1393275,4.8276415,4.287547,-4.574347,0.37471738,-5.014124,-2.6626396,1.4671669,-2.7486875,0.25287634,0.35740846,-1.0465162
"31 - Macrophages (CD206+, CD163+)",4.337405,-3.9772983,0.5218453,-0.68476325,-1.2228464,-2.1843283,-1.8554356,2.1944222,1.0743834,1.1581111,-0.3416967,-3.4114795,3.9214873,-0.23114187,1.2426236,1.8132375,0.16551998,4.7101116,-0.11558906,0.841128,4.0913997,4.5355554,-0.5969862,6.2493935,0.9330702,-0.5329991,1.7261742,-1.6280768,-2.3796847,-2.1419542,-0.5095523,-3.6460643,1.4452016,-2.0979335,3.1625435,-0.5851654,-0.083894655,-5.8608193,3.41881,-1.1645176,-2.368093,6.350915,-2.2426796,4.123276,-1.203774,4.696856,4.5320024,2.6403382,-0.0981021
"32 - Proliferating cells (Ki67+, MPOdim, HistoneH3dim)",2.5919638,-3.3939424,-0.68322426,0.7881689,-2.0970485,-0.14835858,5.665543,-1.5022633,5.0833635,-3.0473256,-3.402132,-3.1631246,2.221486,0.46770856,-4.5934243,0.78201306,0.6812885,-1.4495862,-1.3166146,0.6024964,-0.81888974,-2.258494,1.4856547,-6.5032177,1.1152961,-1.5264544,-3.9655516,5.296302,-5.2078323,-2.2030363,5.4586554,-1.0900147,-7.0508723,1.2913065,-0.96671355,0.90096915,-0.34349835,-0.43021783,1.2940633,-1.4848514,2.0258062,4.0426226,-1.6336626,-1.7862971,-0.49886292,0.0763454,1.8979349,1.3572326,-0.097358376
"33 - NK-cells (CD57+, CD16+)",-2.5260239,0.2045156,-0.36275774,0.10048874,3.8817966,-4.98602,-1.0061438,5.0662384,6.2733974,-3.1865468,2.472068,4.1175013,0.17315723,0.63917696,-0.7315272,4.6302404,-0.85991323,0.9302223,1.9142661,-4.7625256,1.7233906,0.7851405,1.3167367,3.7088056,-1.2933755,2.9141033,4.034708,-0.15167534,1.8943653,4.0636225,2.8952022,1.3766056,-4.612555,-1.0102296,-3.856779,5.2741203,-3.0478933,1.8728516,2.7012796,-0.26194096,3.4199536,-1.8555957,-4.380843,-0.8478767,-0.8130914,0.25005654,1.5062047,0.723462,-1.1014519
34 - ?(dim markers),0.077225864,-2.2319903,0.41739312,-6.531958,2.070098,-2.436801,-0.67237824,5.01702,-5.3292203,-2.1176019,-2.3082173,-0.3264311,-4.8050575,0.30342817,-2.5320034,1.3449285,-0.7558489,2.5290675,2.3499548,-0.122532174,-1.891309,-3.0652072,1.6432376,0.29861256,-4.6063395,-5.5483193,-0.19367844,1.8849331,4.4536786,0.25501326,0.3490734,-3.8655734,-2.9581661,-0.44643477,4.468381,0.04524514,-0.9149301,-0.39427608,-3.8572094,4.9607477,1.9330726,4.8380823,1.0184121,-0.45644698,-3.4159603,0.4004866,-3.8667264,0.6588024,-1.1382865
35 - ?(iNOS+),-1.4265584,-1.151685,0.30219257,-1.3083227,6.226469,2.3504415,-5.6780796,-4.11073,2.3908007,-2.1390963,3.1136813,-0.49694508,-3.005796,-0.16356021,-5.0012946,-0.8602464,0.19917369,0.428146,-1.3168573,2.6329517,0.98294973,4.4514666,-2.2952497,-0.63642293,7.4403477,-6.978178,0.06505579,-5.5821266,0.100283325,-0.73850125,1.8609279,-0.4746616,-1.5367997,3.2392116,1.5492195,3.569671,-2.1760833,2.869233,-1.8958795,-0.4709983,0.29000103,1.7159781,2.0968297,1.1778296,1.4603394,-1.1545485,2.2200994,-1.9508367,0.70816666
"36 - Mast cells (MastCellTryptase+, CD11c+, cKIT+, Vimentindim, Arginase1+, pCREBdim)",-1.1859329,6.1147027,0.8966621,2.3413646,3.0574546,1.3173892,0.68472016,-2.3263056,-1.4353323,2.7177918,0.53007513,-2.3519363,-1.1269423,1.2253287,-1.8763827,0.06884843,-1.4598061,3.5482287,1.9270597,0.42668605,2.7309127,2.2068775,1.371264,-1.020745,-2.8162856,-5.2623887,2.7974842,2.4488325,1.729328,-5.0560784,3.3779004,3.3862252,-2.6482544,-4.011152,-3.082416,-5.8216944,-5.3698835,-6.9380465,-0.095745325,-1.5195667,2.3047116,-4.139786,-0.34594536,1.8146417,0.6938073,-1.5303457,-0.10507226,2.3460965,-0.4742437
"37 - ?(CD31+, AlphaSMA+, Vimentin+, SARSCoV2S1dim, pSTAT3dim, CD56dim, IL1betadim, CD123dim, pCREBdim)",1.6473386,1.6456649,4.64013,1.7475694,-1.0347258,1.6707621,0.76758456,0.09146795,3.394945,3.5855184,0.11635572,-0.71882176,-3.8484101,-7.7750015,1.3225265,-4.941103,-3.4543405,0.28121948,-5.3837976,-1.0788722,-0.14061898,-2.2811584,-0.5613371,0.9073958,-1.7242134,-4.123325,8.728769,2.182367,-2.9220674,1.0927211,-2.265094,-5.054963,-2.440558,2.6426868,-0.42880863,2.4123273,2.1310532,-0.07889867,2.4549081,2.7921069,0.33673823,-1.0174108,-1.3861976,-0.80682945,2.0369606,-0.08006886,-1.4384458,0.6498188,-0.2597559
